"Hirse-KäseschnittemitGrillsoße,gebackenenKartoffelspaltenoderPetersilienkartoffeln,","2,4","4,4","5,8",06.09.2022,False
Aktionstheke:ReinpflanzlicheWokgemüsepfannemitsüßsaurerSoßedazuMieNudeln,"3,1","5,1","6,5",06.09.2022,True
"PaniertesPutenschnitzel,Soße,Romanescogemüse,Petersilienkartoffeln","4,1","6,1","7,5",06.09.2022,False
mensaVital:GabelspaghettimitfeurigemTomaten-Mango-Belugalinsenragout,"1,6","3,6",5,07.09.2022,True
mensaInternational-Ägypten:OkraschoteninTomatensoßemitReisund1/2Fladenbrot,"2,4","4,4","5,8",07.09.2022,True
"SommerWrapmitPaprika,RucolaundMozzarella","3,6","5,6",7,07.09.2022,False
Aktionstheke:Yellow-BurgermitQuinoa-Chili-PattymitErbsen-MinzDip,"3,6","5,6",7,07.09.2022,False
"PutencurrywurstausGönnatal,Currysoße,PommesfritesoderPetersilienkartoffeln,1FruchtquarkmitBeerenoder1Eisbergsalat","4,1","6,1","7,5",07.09.2022,False
mensaVital:TofusteakmitSpinat-Tomaten-Kokos-GemüseundKurkumareis,"1,6","3,6",5,08.09.2022,True
mensaInternational-Kongo:Süßkartoffeleintopf,"2,7","4,7","6,1",08.09.2022,True
Aktionstheke:ReinpflanzlicheWokgemüsepfannemitsüßsaurerSoßedazuMieNudeln,"3,1","5,1","6,5",08.09.2022,True
"mensaVital:HähnchengeschnetzeltesinRucolasoße,tomatierteBasilikum-Nudeln","3,6","5,6",7,08.09.2022,False
"GebackeneMozzarellasticks,Tomatensoße,PestoJerelliNudeln,1RoteGrützeoder1Wachsbrechbohnensalat","3,6","5,6",7,08.09.2022,False
mensaVital:GnocchipfannemitbuntemGemüsemitital.Hartkäse,"2,1","4,1","5,5",09.09.2022,False
mensaInternational-Kamerun:GebrateneKidneybohnendazugebackeneKartoffeln,"2,7","4,7","6,1",09.09.2022,True
"DreiKönigsbergerKlopse,Petersilienkartoffeln,1RoteBeteSalatoder1MohnjoghurtausRudolstadt","3,6","5,6",7,09.09.2022,False
Aktionstheke:Yellow-BurgermitQuinoa-Chili-PattymitErbsen-MinzDip,"3,6","5,6",7,09.09.2022,False
"BunterGemüseeintopfmitKartoffelwürfel,1ScheibeBrot","1,6","3,6",5,19.09.2022,True
"FrischeChampignons,PommesFrites,1Banane","2,1","4,1","5,5",19.09.2022,False
GebackenerCamembertmitWildpreiselbeerenundPommesfrites,"2,7","4,7","6,1",19.09.2022,False
"GulaschvomSchwein,SauerkrautausGroßengottern,Petersilienkartoffeln,1Banane","3,1","5,1","6,5",19.09.2022,False
Aktionstheke:FrischesWokgemüsemitvierMiniFrühlingsrollenanThai-Chili-SoßedazuBasmatireis,"4,5","6,5","7,9",19.09.2022,True
"BunterGemüseeintopfmitKartoffelwürfel,1ScheibeBrot","1,6","3,6",5,21.09.2022,True
"Milchreis,Zucker&Zimt,Amarenakirschgelee,1Rosinenbrötchen","2,1","4,1","5,5",21.09.2022,False
mensaVital:Sommer:Soja-Bier-SteakmiteinerGrilltomateundSommerweizensalat,"2,1","4,1","5,5",21.09.2022,True
"ChickenWings,Salsa-Soße,Pommesfrites,1FruchtjoghurtMangooderTomatensalat","4,1","6,1","7,5",21.09.2022,False
Aktionstheke:FrischesWokgemüsemitvierMiniFrühlingsrollenanThai-Chili-SoßedazuBasmatireis,"4,5","6,5","7,9",21.09.2022,True
